Fleet,Asset Name,Asset Status,Agent Status,Last Seen
Fleet_A,A01,Online,Online,2025-04-16 13:42:45
Fleet_A,A02,Online,Online,2025-04-16 12:34:45
Fleet_A,A03,Online,Online,2025-04-16 12:59:45
Fleet_A,A04,Offline,Online,2025-04-16 13:07:45
Fleet_A,A05,Online,Online,2025-04-16 12:46:45
Fleet_A,A06,Online,Online,2025-04-16 14:03:45
Fleet_A,A07,Online,Online,2025-04-16 13:45:45
Fleet_B,B01,Online,Offline,2025-04-16 13:27:45
Fleet_B,B02,Online,Online,2025-04-16 12:41:45
Fleet_B,B03,Online,Online,2025-04-16 13:06:45
Fleet_B,B04,Offline,Online,2025-04-16 12:35:45
Fleet_B,B05,Online,Online,2025-04-16 12:48:45
Fleet_B,B06,Offline,Online,2025-04-16 14:22:45
Fleet_B,B07,Online,Online,2025-04-16 12:51:45
Fleet_C,C01,Online,Online,2025-04-16 14:15:45
Fleet_C,C02,Online,Online,2025-04-16 13:52:45
Fleet_C,C03,Online,Online,2025-04-16 12:57:45
Fleet_C,C04,Online,Online,2025-04-16 13:55:45
Fleet_C,C05,Online,Online,2025-04-16 13:45:45
Fleet_C,C06,Online,Online,2025-04-16 13:12:45
Fleet_C,C07,Offline,Offline,2025-04-16 12:36:45
